var_1,var_2,cor,p,sig
Proportion uninsured,Racial diversity of producers,-0.06511609390525194,0.7188301743974455,
Price of a meal,Racial diversity of producers,-0.12628215860460976,0.4837553006033386,
Poor mental health days,Racial diversity of producers,-0.2395826183018837,0.17930962359319969,
Mobility disability,Racial diversity of producers,-0.04195147043424643,0.8166914587424174,
Limited access to healthy foods,Racial diversity of producers,0.0668167578837228,0.711795022073386,
Lacking social support,Racial diversity of producers,0.02560007361746213,0.8875430865999847,
High school graduation rate,Racial diversity of producers,-0.16039408618788176,0.37257577511427753,
Heart disease prevalence,Racial diversity of producers,-0.2883389400798079,0.1036761975824736,
Frequent physical distress,Racial diversity of producers,-0.07721889115631549,0.6692894069892121,
"Food insecurity rate, overall",Racial diversity of producers,-0.24018322912552428,0.17818889781880554,
Diabetes prevelance,Racial diversity of producers,0.33837827128673387,0.054087561183431276,
Weeks of extreme drought,Racial diversity of producers,0.3519364479511908,0.04458575229471018,*
Tree species diversity,Racial diversity of producers,-0.43614240542480764,0.011170429156658335,*
Tree size diversity,Racial diversity of producers,-0.3006987795013734,0.08905849216989026,
Total ecosystem carbon per acre,Racial diversity of producers,-0.3645818101988614,0.03697722560433814,*
Soil organic carbon,Racial diversity of producers,-0.3007639427402262,0.08898585132038805,
Rarefied richness of plants,Racial diversity of producers,0.0034151030628687996,0.9849513176985272,
Rarefied richness of animals,Racial diversity of producers,-0.050936198076027006,0.7783219700077368,
Proportion of invasive species,Racial diversity of producers,0.3650071281809091,0.03674087030831741,*
Land Use Diversity,Racial diversity of producers,0.4279460560686956,0.01297716027355178,*
Fuel expenses,Racial diversity of producers,-0.32016829443721256,0.06929976328695009,
Available water storage,Racial diversity of producers,-0.18186534220076786,0.3110923417700542,
Annual precipitation,Racial diversity of producers,0.026161180148406647,0.8850943338668484,
Total indemnities,Racial diversity of producers,0.03665079744646791,0.8395317612049715,
Sales from agritourism and recreation,Racial diversity of producers,0.3242486391301649,0.06563049219891948,
Percent change in wages,Racial diversity of producers,-0.1596037306001977,0.37496707652279304,
Market channel ratio,Racial diversity of producers,0.09828470583033558,0.5863362558419891,
Land and building value per acre,Racial diversity of producers,0.32054012870943405,0.06895890138763439,
Gini Index,Racial diversity of producers,0.003998287361606743,0.9823818789921128,
Expenses per operation,Racial diversity of producers,0.10396597354618935,0.5647676274544975,
Change in agricultural establishments,Racial diversity of producers,-0.16454313181805158,0.36017043670128324,
Average weekly wages,Racial diversity of producers,-0.27879074839631773,0.11615676234345051,
Social isolation,Producer age skew,0.028892639380228236,0.8731891370054825,
Ratio of female to male producers,Producer age skew,-0.2825377682564544,0.11113176231344557,
Racial diversity of producers,Producer age skew,0.14245044179849853,0.4290560932554339,
Producer age skew,Producer age skew,1,NA,NA
Firearm fatalities,Producer age skew,-0.08423529748458451,0.6411678269467536,
Annual population change,Producer age skew,0.2751077665211567,0.12125938368779998,
Acres in conservation easements,Producer age skew,-0.23707494505466173,0.1840426965823645,
Total animal and crop sales,Producer age skew,0.08431336516885482,0.6408575806388783,
Proportion of organic operations,Producer age skew,0.08623737206055407,0.6332304034449516,
Proportion of operations using precision agriculture,Producer age skew,-0.05659067949288532,0.7544291314623663,
Crop diversity,Producer age skew,0.3635908490150503,0.03753269213911303,*
Rental vacancy rate,Producer age skew,-0.03304363332212587,0.8551498119851972,
Proportion uninsured,Producer age skew,-0.02644812323325695,0.8838424730306806,
Price of a meal,Producer age skew,0.03085821984369497,0.8646387671011764,
Poor mental health days,Producer age skew,0.08225554465355504,0.6490552966346947,
Mobility disability,Producer age skew,-0.0027371558820686597,0.9879384548929342,
Limited access to healthy foods,Producer age skew,0.3097366299544664,0.07940959340283049,
Lacking social support,Producer age skew,-0.04501841375214492,0.8035422032521415,
High school graduation rate,Producer age skew,-0.05997386500957422,0.7402381525415604,
Heart disease prevalence,Producer age skew,0.002641951068771251,0.9883579553983777,
Frequent physical distress,Producer age skew,0.052319856829967856,0.7724560016997386,
"Food insecurity rate, overall",Producer age skew,0.015505261673852699,0.9317513933181905,
Diabetes prevelance,Producer age skew,-0.11720994471109035,0.5159488578008071,
Weeks of extreme drought,Producer age skew,0.19470050727411053,0.27757838465693907,
Tree species diversity,Producer age skew,0.01929604092317373,0.9151198266739504,
Tree size diversity,Producer age skew,-0.05052778839368935,0.7800557208708931,
Total ecosystem carbon per acre,Producer age skew,-0.04061442384792237,0.8224395453789985,
Soil organic carbon,Producer age skew,-0.08992313692489225,0.6187228041018127,
Rarefied richness of plants,Producer age skew,0.2380141590095855,0.18225980046277446,
Rarefied richness of animals,Producer age skew,-0.061772807317131806,0.7327261354078418,
Proportion of invasive species,Producer age skew,-0.1489955253745361,0.4079279729334355,
Land Use Diversity,Producer age skew,0.17164594283580747,0.33951439531957117,
Fuel expenses,Producer age skew,0.34802160739230714,0.04718021396154448,*
Available water storage,Producer age skew,0.16247800535306986,0.36631387731484644,
Annual precipitation,Producer age skew,-0.22335086564044396,0.2115054316602729,
Total indemnities,Producer age skew,0.11212781353016489,0.534433221933929,
Sales from agritourism and recreation,Producer age skew,0.26216988298739735,0.1405080228625617,
Percent change in wages,Producer age skew,0.0700040526415864,0.6986731320218911,
Market channel ratio,Producer age skew,-0.11506005411951367,0.5237296277230843,
Land and building value per acre,Producer age skew,0.09323818055102669,0.6057937765117658,
Gini Index,Producer age skew,-0.38622264929266026,0.026413671290300922,*
Expenses per operation,Producer age skew,0.10943505871872074,0.54435413924688,
Change in agricultural establishments,Producer age skew,-0.06042041006843864,0.7383712420335713,
Average weekly wages,Producer age skew,-0.3921042388134242,0.02401742280541086,*
Social isolation,Firearm fatalities,0.35885295697281017,0.04028242396751103,*
Ratio of female to male producers,Firearm fatalities,0.22363824663795526,0.21090300785371507,
Racial diversity of producers,Firearm fatalities,-0.44591330877689905,0.009298437575279817,*
Producer age skew,Firearm fatalities,-0.08423529748458451,0.6411678269467536,
Firearm fatalities,Firearm fatalities,1,NA,NA
Annual population change,Firearm fatalities,-0.09664775655934822,0.5926174958644064,
Acres in conservation easements,Firearm fatalities,0.5327887772294085,0.001412428990798631,*
Total animal and crop sales,Firearm fatalities,0.05923348648278911,0.7433367216784177,
Proportion of organic operations,Firearm fatalities,0.41921192310777267,0.015166625159380942,*
Proportion of operations using precision agriculture,Firearm fatalities,-0.14087364467236782,0.43423495872238327,
Crop diversity,Firearm fatalities,-0.58427415140894845,3.568007994294575e-4,*
Rental vacancy rate,Firearm fatalities,0.47264446414295147,0.005477228045862592,*
Proportion uninsured,Firearm fatalities,0.545941949581469,0.0010147215065861026,*
Price of a meal,Firearm fatalities,-0.08467986179562773,0.6394018959401391,
Poor mental health days,Firearm fatalities,0.37335605603575367,0.03234356770678093,*
Mobility disability,Firearm fatalities,0.07610043485512019,0.6738144347352453,
Limited access to healthy foods,Firearm fatalities,-0.3664276855422734,0.0359602954883842,*
Lacking social support,Firearm fatalities,-0.1465775705923614,0.41566375180829285,
High school graduation rate,Firearm fatalities,0.319396771604439,0.07001121578515024,
Heart disease prevalence,Firearm fatalities,0.3141127546851497,0.07503808975529225,
Frequent physical distress,Firearm fatalities,0.009027975398786277,0.9602315700925255,
"Food insecurity rate, overall",Firearm fatalities,0.5140531930895328,0.00221218572658044,*
Diabetes prevelance,Firearm fatalities,-0.3938370158236916,0.023346661064830965,*
Weeks of extreme drought,Firearm fatalities,-0.6850520467360848,1.0924435504211516e-5,*
Tree species diversity,Firearm fatalities,0.4768417248785184,0.00502124891774014,*
Tree size diversity,Firearm fatalities,-0.17193513551528775,0.3386889962828572,
Total ecosystem carbon per acre,Firearm fatalities,0.31179245215918616,0.07733206186433206,
Soil organic carbon,Firearm fatalities,0.5685623751517325,5.561331486942933e-4,*
Rarefied richness of plants,Firearm fatalities,0.08375633491320812,0.6430725596419067,
Rarefied richness of animals,Firearm fatalities,0.204285004099432,0.25413844861095725,
Proportion of invasive species,Firearm fatalities,-0.3151277940973553,0.07405133069549086,
Land Use Diversity,Firearm fatalities,-0.5004196000396653,0.003018891740775853,*
Fuel expenses,Firearm fatalities,0.25056008644392785,0.159602545831095,
Available water storage,Firearm fatalities,0.48559538135328745,0.004174150534935084,*
Annual precipitation,Firearm fatalities,0.44815115238679426,0.008909348470981682,*
Total indemnities,Firearm fatalities,0.036122096978668715,0.8418172850163548,
Sales from agritourism and recreation,Firearm fatalities,0.08153857566078086,0.6519210605740593,
Percent change in wages,Firearm fatalities,0.20945159187074364,0.2420630571654261,
Market channel ratio,Firearm fatalities,-0.3112323151084975,0.07789389513648604,
Land and building value per acre,Firearm fatalities,-0.7835871818584498,6.961215781586816e-8,*
Gini Index,Firearm fatalities,-0.1942407892683519,0.2787367218906045,
Expenses per operation,Firearm fatalities,-0.1859819999944729,0.3000781297479498,
Change in agricultural establishments,Firearm fatalities,0.22254317879775407,0.21320487721269088,
Average weekly wages,Firearm fatalities,-0.2289064861404069,0.20006798368313228,
Social isolation,Annual population change,-0.5012568202106764,0.0029628768704759167,*
Ratio of female to male producers,Annual population change,-0.1757072576249207,0.32803517017952877,
Racial diversity of producers,Annual population change,0.3614106013906187,0.03877856050879869,*
Producer age skew,Annual population change,0.2751077665211567,0.12125938368779998,
Firearm fatalities,Annual population change,-0.09664775655934822,0.5926174958644064,
Annual population change,Annual population change,1,NA,NA
Acres in conservation easements,Annual population change,-0.1634040006998618,0.3635515367273483,
Total animal and crop sales,Annual population change,-0.1330104593714144,0.4605671377403926,
Proportion of organic operations,Annual population change,-0.015405919064404925,0.932187658201961,
Proportion of operations using precision agriculture,Annual population change,-0.00424531527921128,0.98129355511153,
Crop diversity,Annual population change,0.1825795022854109,0.309163647642849,
Rental vacancy rate,Annual population change,0.0039013462710871865,0.9828089782250047,
Proportion uninsured,Annual population change,0.15785322512674035,0.380295407682536,
Price of a meal,Annual population change,-0.22502106308344166,0.2080207707363244,
Poor mental health days,Annual population change,-0.23260089974497217,0.19270423755369936,
Mobility disability,Annual population change,0.03819478159617184,0.8328646840045497,
Limited access to healthy foods,Annual population change,-0.28619883483366315,0.1063813103195923,
Lacking social support,Annual population change,-0.053676044230643365,0.7667184659988875,
High school graduation rate,Annual population change,0.07422449598396812,0.6814292541102656,
Heart disease prevalence,Annual population change,-8.685198995381996e-4,0.9961726574797236,
Frequent physical distress,Annual population change,-0.06495972318116577,0.7194781834484929,
"Food insecurity rate, overall",Annual population change,-0.10463213541214975,0.5622625574254556,
Diabetes prevelance,Annual population change,0.018218394982819217,0.9198445747289086,
Weeks of extreme drought,Annual population change,0.10635116867327651,0.5558218973854017,
Tree species diversity,Annual population change,-0.3256045311270384,0.06444549456399518,
Tree size diversity,Annual population change,-0.18060466014621712,0.31451537007312513,
Total ecosystem carbon per acre,Annual population change,-0.33793965330060394,0.05441983502379566,
Soil organic carbon,Annual population change,-0.3176743299315642,0.0716201023112446,
Rarefied richness of plants,Annual population change,0.08603186992649625,0.6340433102284764,
Rarefied richness of animals,Annual population change,-0.008255183027058076,0.9636333904503072,
Proportion of invasive species,Annual population change,0.01801931534819153,0.920717703433388,
Land Use Diversity,Annual population change,0.30681675085204557,0.08243411919161359,
Fuel expenses,Annual population change,-0.0017196228587915599,0.9924221475891466,
Available water storage,Annual population change,-0.2121473200188532,0.23591751286385643,
Annual precipitation,Annual population change,-0.07030756266260674,0.6974279826064052,
Total indemnities,Annual population change,-0.06878933736515526,0.7036641905788332,
Sales from agritourism and recreation,Annual population change,0.3198647026228775,0.06957904111955804,
Percent change in wages,Annual population change,-0.017818285637880463,0.9215994770340883,
Market channel ratio,Annual population change,0.07914549872919711,0.6615215563854813,
Land and building value per acre,Annual population change,0.23155298542323147,0.19477342837370037,
Gini Index,Annual population change,-0.08773375528098308,0.6273238841012581,
Expenses per operation,Annual population change,0.01693339901447751,0.9254819174954607,
Change in agricultural establishments,Annual population change,-0.1150264556135828,0.523851677954287,
Average weekly wages,Annual population change,-0.18117153575561365,0.31297327683214915,
Social isolation,Acres in conservation easements,0.2899296650240396,0.10169941306534325,
Ratio of female to male producers,Acres in conservation easements,0.2973714174386584,0.09282838087952783,
Racial diversity of producers,Acres in conservation easements,-0.4739236994893353,0.005334637825169519,*
Producer age skew,Acres in conservation easements,-0.23707494505466173,0.1840426965823645,
Firearm fatalities,Acres in conservation easements,0.5327887772294085,0.001412428990798631,*
Annual population change,Acres in conservation easements,-0.1634040006998618,0.3635515367273483,
Acres in conservation easements,Acres in conservation easements,1,NA,NA
Total animal and crop sales,Acres in conservation easements,0.09778585732241568,0.5882473076874652,
Proportion of organic operations,Acres in conservation easements,0.36916435170966705,0.03449442783690815,*
Proportion of operations using precision agriculture,Acres in conservation easements,0.02816318897879326,0.8763659201212577,
Crop diversity,Acres in conservation easements,-0.4921219141903279,0.003625568818519831,*
Rental vacancy rate,Acres in conservation easements,0.12364546210738749,0.49300363187697016,
Proportion uninsured,Acres in conservation easements,-0.11827640774292637,0.5121104435526194,
Price of a meal,Acres in conservation easements,0.20635640911651235,0.24925017995549958,
Poor mental health days,Acres in conservation easements,0.40696638985097494,0.018749927359953622,*
Mobility disability,Acres in conservation easements,-0.19337686851578742,0.2809219612726772,
Limited access to healthy foods,Acres in conservation easements,-0.3557655879493668,0.042159997410554206,*
Lacking social support,Acres in conservation easements,-0.2610569797626267,0.1422624024403989,
High school graduation rate,Acres in conservation easements,0.03824200852204718,0.8326609310046669,
Heart disease prevalence,Acres in conservation easements,0.028199310923749752,0.8762085627487677,
Frequent physical distress,Acres in conservation easements,-0.17607446397218798,0.3270092120959296,
"Food insecurity rate, overall",Acres in conservation easements,0.2217362140155555,0.21491213667419773,
Diabetes prevelance,Acres in conservation easements,-0.5220690327746015,0.0018315091269196504,*
Weeks of extreme drought,Acres in conservation easements,-0.49366245404602155,0.00350557149995101,*
Tree species diversity,Acres in conservation easements,0.4304356991463697,0.012404096322331304,*
Tree size diversity,Acres in conservation easements,0.23523367049823646,0.1875735074766478,
Total ecosystem carbon per acre,Acres in conservation easements,0.7090600033634554,3.859737929712281e-6,*
Soil organic carbon,Acres in conservation easements,0.6463389956773008,4.8377324896264895e-5,*
Rarefied richness of plants,Acres in conservation easements,0.3844439614401586,0.02717581783975298,*
Rarefied richness of animals,Acres in conservation easements,0.4010509567764216,0.02071799669558505,*
Proportion of invasive species,Acres in conservation easements,-0.2825537717558051,0.11111065627828687,
Land Use Diversity,Acres in conservation easements,-0.6882671951294154,9.557675116234066e-6,*
Fuel expenses,Acres in conservation easements,0.038870120726832574,0.8299520628044572,
Available water storage,Acres in conservation easements,0.5433763607062809,0.0010834776737556062,*
Annual precipitation,Acres in conservation easements,0.06319564757998715,0.7268017962308071,
Total indemnities,Acres in conservation easements,-0.13171931509937607,0.4649704998148154,
Sales from agritourism and recreation,Acres in conservation easements,-0.334814465681869,0.056834407240083706,
Percent change in wages,Acres in conservation easements,0.18276662353254314,0.30865954410136887,
Market channel ratio,Acres in conservation easements,-0.2587625794911334,0.1459296547316533,
Land and building value per acre,Acres in conservation easements,-0.6296900296377503,8.625845080967309e-5,*
Gini Index,Acres in conservation easements,0.03929668322161195,0.8281135138225431,
Expenses per operation,Acres in conservation easements,-0.19555337966148162,0.2754376940122967,
Change in agricultural establishments,Acres in conservation easements,0.4795365767643101,0.0047460074835927735,*
Average weekly wages,Acres in conservation easements,0.1066137074541825,0.5548412722009184,
Social isolation,Total animal and crop sales,-0.040096282972709486,0.8246695360803751,
Ratio of female to male producers,Total animal and crop sales,-0.361491081478205,0.03873198539055611,*
Racial diversity of producers,Total animal and crop sales,0.018502425076759508,0.9185990273310416,
Producer age skew,Total animal and crop sales,0.08431336516885482,0.6408575806388783,
Firearm fatalities,Total animal and crop sales,0.05923348648278911,0.7433367216784177,
Annual population change,Total animal and crop sales,-0.1330104593714144,0.4605671377403926,
Acres in conservation easements,Total animal and crop sales,0.09778585732241568,0.5882473076874652,
Total animal and crop sales,Total animal and crop sales,1,NA,NA
Proportion of organic operations,Total animal and crop sales,0.09894770488280226,0.5838006005962062,
Proportion of operations using precision agriculture,Total animal and crop sales,0.6155171805527578,1.375431390719939e-4,*
Crop diversity,Total animal and crop sales,-0.01129812355495789,0.950242612230707,
Rental vacancy rate,Total animal and crop sales,-0.21600810697895104,0.22730012314521186,
Proportion uninsured,Total animal and crop sales,-0.10791602194358267,0.549988839454211,
Price of a meal,Total animal and crop sales,-0.1175621351948534,0.514679686620906,
Poor mental health days,Total animal and crop sales,0.06986625373233976,0.6992387065823256,
Mobility disability,Total animal and crop sales,-0.2083858953866403,0.2445218209122606,
Limited access to healthy foods,Total animal and crop sales,-0.04388029235386367,0.8084158379940507,
Lacking social support,Total animal and crop sales,0.026022960927366813,0.8856974472343091,
High school graduation rate,Total animal and crop sales,0.13063590236821582,0.4686825079099517,
Heart disease prevalence,Total animal and crop sales,-0.26651971950757564,0.13380253054112656,
Frequent physical distress,Total animal and crop sales,-0.07263362904641278,0.6879112118892197,
"Food insecurity rate, overall",Total animal and crop sales,-0.041301145217192956,0.8194861154480932,
Diabetes prevelance,Total animal and crop sales,0.03441987765075837,0.8491843455366204,
Weeks of extreme drought,Total animal and crop sales,0.06995069481082589,0.6988921122366065,
Tree species diversity,Total animal and crop sales,0.010996970250027192,0.9515673323426381,
Tree size diversity,Total animal and crop sales,-0.16130610578713708,0.36982756013588514,
Total ecosystem carbon per acre,Total animal and crop sales,-0.052381738705515594,0.7721939417955737,
Soil organic carbon,Total animal and crop sales,-0.04470006546363404,0.8049047032853798,
Rarefied richness of plants,Total animal and crop sales,0.15316903571204177,0.3947693420531784,
Rarefied richness of animals,Total animal and crop sales,0.035191374332852875,0.8458437833258052,
Proportion of invasive species,Total animal and crop sales,-0.25403449484042034,0.15370279879564963,
Land Use Diversity,Total animal and crop sales,0.29285727440207165,0.09813601906480351,
Fuel expenses,Total animal and crop sales,0.08430496453960855,0.6408909624504118,
Available water storage,Total animal and crop sales,-0.013089948546020778,0.9423635122349443,
Annual precipitation,Total animal and crop sales,-0.06778165666514298,0.7078138202679223,
Total indemnities,Total animal and crop sales,0.3447601806936337,0.04943257515965316,*
Sales from agritourism and recreation,Total animal and crop sales,-0.0665160418811432,0.7130373195875053,
Percent change in wages,Total animal and crop sales,-0.07794901577932341,0.6663416179985255,
Market channel ratio,Total animal and crop sales,-0.13637148705476634,0.44920928326729337,
Land and building value per acre,Total animal and crop sales,-0.13478972502691855,0.4545355808098406,
Gini Index,Total animal and crop sales,-0.26213331275050145,0.1405654196416133,
Expenses per operation,Total animal and crop sales,0.7909472413352948,4.3032093222095114e-8,*
Change in agricultural establishments,Total animal and crop sales,0.06048437188858806,0.7381039509458589,
Average weekly wages,Total animal and crop sales,-0.05663392922883412,0.7542472084100238,
Social isolation,Proportion of organic operations,0.29177173204381796,0.09944607666689631,
Ratio of female to male producers,Proportion of organic operations,0.1526752965338666,0.3963131903627797,
Racial diversity of producers,Proportion of organic operations,-0.2077364621638883,0.2460283302623265,
Producer age skew,Proportion of organic operations,0.08623737206055407,0.6332304034449516,
Firearm fatalities,Proportion of organic operations,0.41921192310777267,0.015166625159380942,*
Annual population change,Proportion of organic operations,-0.015405919064404925,0.932187658201961,
Acres in conservation easements,Proportion of organic operations,0.36916435170966705,0.03449442783690815,*
Total animal and crop sales,Proportion of organic operations,0.09894770488280226,0.5838006005962062,
Proportion of organic operations,Proportion of organic operations,1,NA,NA
Proportion of operations using precision agriculture,Proportion of organic operations,-0.05012974755044387,0.7817464559936156,
Crop diversity,Proportion of organic operations,-0.5678995298667419,5.663690831358981e-4,*
Rental vacancy rate,Proportion of organic operations,0.2665950601742066,0.1336885007700459,
Proportion uninsured,Proportion of organic operations,0.12278397461737205,0.4960447298688384,
Price of a meal,Proportion of organic operations,0.4454999174766061,0.009371866834975595,*
Poor mental health days,Proportion of organic operations,0.13454999463484676,0.45534577064671566,
Mobility disability,Proportion of organic operations,-0.25056354603959063,0.1595965914215265,
Limited access to healthy foods,Proportion of organic operations,-0.3697058837739095,0.03421019327130237,*
Lacking social support,Proportion of organic operations,-0.4472177326172586,0.009069926675747686,*
High school graduation rate,Proportion of organic operations,-0.27689967518315617,0.11875634689338743,
Heart disease prevalence,Proportion of organic operations,0.04756506976976481,0.7926634993571247,
Frequent physical distress,Proportion of organic operations,-0.20750654095309146,0.2465631645148474,
"Food insecurity rate, overall",Proportion of organic operations,0.2702541953247294,0.12823594443529318,
