"","X","dimension","index","indicator","metric","variable_name","has_county"
"21",24,"economics","food business resilience","operations diversification","Farms, direct-to-consumer sales as a percent ...","d2cSalesPerc",TRUE
"22",25,"economics","food business resilience","operations diversification","Agritourism, sales as a percent of all farm s...","agTourSalesPerc",TRUE
"23",26,"economics","food business resilience","operations diversification","Farms, local marketing channel sales as a per...","localSalesPerc",TRUE
"24",27,"economics","food business resilience","use of ag/farm/crop insurance","Proportion of area (by county) affected by FS...","propAreaFsaSecDisasters",FALSE
"25",31,"environment","carbon, ghg, nutrients","carbon fluxes","Total CH4 emissions from agriculture (Tg)","CH4FromAg",FALSE
"26",32,"environment","carbon, ghg, nutrients","carbon fluxes","Total CO2 emissions from agriculture (Tg)","CO2FromAg",FALSE
"27",33,"environment","carbon, ghg, nutrients","carbon fluxes","Total N2O emissions from agriculture (Tg)","N2OFromAg",FALSE
"28",34,"environment","carbon, ghg, nutrients","carbon fluxes","Air pollution - particulate matter","airPollutionParticulateMatter",TRUE
"29",35,"environment","carbon, ghg, nutrients","carbon stocks","Forest carbon - dead and down","forestCarbonDeadDown",TRUE
"30",36,"environment","carbon, ghg, nutrients","carbon stocks","Forest carbon - live standing","forestCarbonLive",TRUE
"31",37,"environment","carbon, ghg, nutrients","carbon stocks","Forest carbon - standing dead","forestCarbonDeadStanding",TRUE
"32",38,"environment","carbon, ghg, nutrients","embodied carbon","Operations using geoexchange","geoexchangeNOps",FALSE
"33",39,"environment","carbon, ghg, nutrients","embodied carbon","Operations with methane digesters","methaneNOps",FALSE
"34",40,"environment","carbon, ghg, nutrients","embodied carbon","Operations with solar power","solarNOps",FALSE
"35",41,"environment","carbon, ghg, nutrients","embodied carbon","Operations with wind power","windTurbinesNOps",FALSE
"36",43,"environment","forest","forest health","Dead trees per forested acre","forestDeadTrees",TRUE
"37",44,"environment","forest","forest health","Forest canopy cover","forestCanopyCover",TRUE
"38",45,"environment","forest","forest health","Forest live tree volume per acre","forestLiveTreeVolume",TRUE
"39",46,"environment","forest","forest health","Forest stand height","forestStandHeight",TRUE
"40",47,"environment","forest","forest health","Live trees per forested acre","forestLiveTrees",TRUE
"41",48,"environment","species and habitat","biodiversity","Percentage of animal species at risk","pctAtRiskAnimalSpp",FALSE
"42",49,"environment","species and habitat","biodiversity","Percentage of bee species at risk","pctAtRiskBeeSpp",FALSE
"43",50,"environment","species and habitat","biodiversity","Percentage of orchid species at risk","pctAtRiskOrchidSpp",FALSE
"44",51,"environment","species and habitat","biodiversity","Percentage of plant species at risk","pctAtRiskPlantSpp",FALSE
"45",52,"environment","species and habitat","biodiversity","Total number of animal species","sppAnimals",FALSE
"46",53,"environment","species and habitat","biodiversity","Total number of bee species","sppBees",FALSE
"47",54,"environment","species and habitat","biodiversity","Total number of orchid species","sppOrchids",FALSE
"48",55,"environment","species and habitat","biodiversity","Total number of plant species","sppPlants",FALSE
"49",56,"environment","species and habitat","land use diversity","Land Use Diversity","lulcDiversity",TRUE
"50",57,"environment","species and habitat","sensitive or rare habitats","Percentage of ecosystems at risk","pctAtRiskEcosystems",FALSE
"51",58,"environment","species and habitat","sensitive or rare habitats","Total number of ecosystems","nEcosystems",FALSE
"52",59,"environment","water","water quality","Lake habitat complexity condition class","lakesLitripcvrCond",FALSE
"53",60,"environment","water","water quality","Riparian vegetation condition class","lakesRvegCond",FALSE
"54",61,"environment","water","water quality","Riparian vegetation condition, based on L_XCM...","riversRipvegCond",FALSE
"55",62,"environment","water","water quality","Site condition class based on conductivity","riversSalCond",FALSE
"56",63,"environment","water","water quality","Site condition class based on total nitrogen ...","riversNtlCond",FALSE
"57",64,"environment","water","water quality","Site condition class based on total phosphoru...","riversPtlCond",FALSE
"58",65,"environment","water","water quantity","Expenses from water for irrigation sourced of...","waterIrrSrcOffFarmExpPerAcreFt",FALSE
"59",66,"environment","water","water quantity","Total expenses from water for irrigation sour...","waterIrrSrcOffFarmExp",FALSE
"60",67,"environment","water","water quantity","Mean percent area in drought","droughtMeanPercArea",FALSE
"61",68,"health","education","educational attainment","Percentage with bachelor's degree","edPercBS",TRUE
"62",69,"health","food security","access to culturally appropriate food","SFAs serving culturally relevant food","sfaCulturallyRelevant",FALSE
"63",70,"health","food security","dietary quality","SFAs percentage of spending on local food","sfaLocalFoodCosts",FALSE
"64",71,"health","food security","dietary quality","SFAs serving local food","sfaServeLocal",FALSE
"65",72,"health","food security","dietary quality","SFAs with Farm to School program","sfaFarmToSchool",FALSE
"66",73,"health","food security","food access","Community Supported Agriculture (CSA), number...","nCSA",TRUE
"67",74,"health","food security","food access","Farmers markets, number of businesses","nFarmersMarket",TRUE
"68",75,"health","food security","food access","Grocery stores/1,000 pop","nGrocPTH",TRUE
"69",76,"health","food security","food access","Limited access to healthy foods","limitedAccessToHealthyFoods",TRUE
"70",77,"health","food security","food affordability","SNAP participation rates, all eligible people","snapPercPart",FALSE
"71",78,"health","food security","food affordability","SNAP-authorized stores/1,000 pop","nSnapGrocPTH",TRUE
"72",79,"health","food security","food affordability","WIC coverage rate","wicPercPart",FALSE
"73",80,"health","food security","food affordability","WIC eligibility rate","wicPercEligible",FALSE
"74",81,"health","food security","food affordability","WIC-authorized stores/1,000 pop","nWicsGrocPTH",TRUE
"75",85,"health","mental health","mental health tbd","Frequent mental distress","frequentMentalDistress",TRUE
"76",86,"health","mental health","mental health tbd","Poor mental health days","poorMentalHealthDays",TRUE
"77",87,"health","mental health","mental health tbd","Suicides","suicides",TRUE
"78",88,"health","mental health","mental health tbd","Mental health providers","mentalHealthProviders",TRUE
"79",89,"health","physical health","access to care","Access to exercise opportunities","accessToExerciseOpportunities",TRUE
"80",90,"health","physical health","access to care","Child care centers","childCareCenters",TRUE
"81",91,"health","physical health","access to care","Child care cost burden","childCareCostBurden",TRUE
"82",92,"health","physical health","access to care","Dentists","dentists",TRUE
"83",93,"health","physical health","access to care","Mammography screening","mammographyScreening",TRUE
"84",94,"health","physical health","access to care","Primary care physicians","primaryCarePhysicians",TRUE
"85",95,"health","physical health","access to care","Uninsured","uninsured",TRUE
"86",96,"health","physical health","housing supply and quality","Broadband access","broadbandAccess",TRUE
"87",97,"health","physical health","housing supply and quality","Homeownership","homeownership",TRUE
"88",98,"health","physical health","housing supply and quality","Severe housing cost burden","severeHousingCostBurden",TRUE
"89",99,"health","physical health","housing supply and quality","Severe housing problems","severeHousingProblems",TRUE
"90",100,"health","physical health","housing supply and quality","Rental vacancy rate","vacancyRate",TRUE
"91",102,"health","physical health","physical health tbd","Drinking water violations","drinkingWaterViolations",TRUE
"92",103,"health","physical health","physical health tbd","Diabetes prevalence","diabetesPrevalence",TRUE
"93",104,"health","physical health","physical health tbd","Drug overdose deaths","drugOverdoseDeaths",TRUE
"94",105,"health","physical health","physical health tbd","Frequent physical distress","frequentPhysicalDistress",TRUE
"95",106,"health","physical health","physical health tbd","Hiv prevalence","hivPrevalence",TRUE
"96",107,"health","physical health","physical health tbd","Infant mortality","infantMortality",TRUE
"97",108,"health","physical health","physical health tbd","Injury deaths","injuryDeaths",TRUE
"98",109,"health","physical health","physical health tbd","Life expectancy","lifeExpectancy",TRUE
"99",110,"health","physical health","physical health tbd","Low birthweight","lowBirthweight",TRUE
"100",111,"health","physical health","physical health tbd","Motor vehicle crash deaths","motorVehicleCrashDeaths",TRUE
"101",112,"health","physical health","physical health tbd","Premature age-adjusted mortality","prematureAgeAdjustedMortality",TRUE
"102",113,"health","physical health","physical health tbd","Teen births","teenBirths",TRUE
"103",115,"production","imports vs exports","total quantity exported","Value of total agricultural exports","exportsTotalAgricultural",FALSE
"104",116,"production","imports vs exports","total quantity imported","value of top five imports","importsTopFive",FALSE
"105",121,"production","production diversity","production species diversity","Crop diversity","cropDiversity",TRUE
"106",123,"production","production margins","production inputs","Mean chemical expenses per operation","expChemicalPct",FALSE
"107",124,"production","production margins","total quantity food products","Total animal sales","salesAnimal",TRUE
"108",125,"production","production margins","total quantity food products","Total crop sales","salesCrop",TRUE
"109",126,"production","production margins","total quantity forest products","Total forest product income","incForestProducts",TRUE
"110",127,"production","production margins","total quantity non-food ag products","Cash receipts value, forest products , all","totalReceiptsAllForestProducts",FALSE
"111",128,"production","production margins","total quantity non-food ag products","Value of production, services and forestry, a...","totalValueServicesAndForestry",FALSE
"112",129,"production","production margins","value added market","Farms, percent of all farms with value-added ...","valueAddedFarmsPerc",TRUE
"113",130,"production","production margins","value added market","Farms, value-added sales as a percent of all ...","valueAddedSalesPerc",TRUE
"114",132,"production","waste and losses","crop failure","Other farm income, insurance indemnities","totalIncomeInsuranceIndemnities",FALSE
"115",133,"production","waste and losses","crop failure","Other farm income, insurance indemnities, fed...","totalIncomeInsuranceIndemnitiesFederal",FALSE
"116",134,"production","waste and losses","crop failure","Value of ad hoc and emergency program payment...","totalValueEmergPayments",FALSE
"117",135,"production","waste and losses","crop failure","Value of agricultural risk coverage payments,...","totalValueAgRiskCoveragePayments",FALSE
"118",136,"production","waste and losses","crop failure","Value of all other ad hoc and emergency progr...","totalValueOtherAdHocEmergPayments",FALSE
"119",137,"production","waste and losses","crop failure","Value of dairy margin protection program paym...","totalValueDairyMarginProtPayments",FALSE
"120",138,"production","waste and losses","crop failure","Value of price loss coverage payments, all","totalValueAllLossCoveragePayments",FALSE
"121",143,"social","community embeddedness","social connectedness","Children in single-parent households","childrenInSingleParentHouseholds",TRUE
"122",144,"social","community embeddedness","social connectedness","Disconnected youth","disconnectedYouth",TRUE
"123",145,"social","community embeddedness","social connectedness","Social associations","socialAssociations",TRUE
"124",148,"social","community livability","community safety","Alcohol-impaired driving deaths","alcoholImpairedDrivingDeaths",TRUE
"125",149,"social","community livability","diverse representation","Residential segregation - black/white","residentialSegregationBlackWhite",TRUE
"126",150,"social","community livability","diverse representation","School segregation","schoolSegregation",TRUE
"127",154,"social","food and farmworker diversity","age diversity","Mean producer age","ageProducers",TRUE
"128",155,"social","food and farmworker diversity","gender diversity","Ratio of female to male producers","ftmProdRatio",TRUE
"129",156,"social","food and farmworker diversity","racial diversity","Racial diversity of producers","producerRacialDiversity",FALSE
"130",161,"social","food system governance","participatory governance","Voter turnout","voterTurnout",TRUE
